code_UAI,nom_etablissement,code_departement,nom_formation,code_formation_parcoursup,type_contrat,formation_selective,concour,nombre_candidats,taux_admission,taux_femmes,taux_boursiers,taux_meme_academie,taux_meme_etablissement,taux_bac_technologique,taux_bac_pro,taux_mention_assez_bien,taux_mention_bien,taux_mention_tres_bien,taux_mention_tres_bien_felicitations
9740479C,Lycée professionnel Amiral Lacaze,974,BTS - Production - Assistance technique d'ingénieur,15683,Public,True,False,174,0.48,0.455,0.77796875,1.0,0.443984375,0.443984375,0.5559375,0.33296875,0.11099609375,0.0,0.0
0597065J,Université de Lille,59,Licence - Langues étrangères appliquées - Parcours Anglais italien appliqués aux affaires,15722,Public,False,False,407,1.0,0.65,0.4,0.745,0.0,0.1269921875,0.09099609375,0.363984375,0.2,0.073,0.0
0597065J,Université de Lille,59,Licence - Langues étrangères appliquées - Parcours Anglais russe appliqués aux affaires,15724,Public,False,False,322,1.0,0.438984375,0.411953125,0.85296875,0.0,0.1469921875,0.1469921875,0.411953125,0.2059765625,0.0,0.0
0597065J,Université de Lille,59,Licence - Langues étrangères appliquées - Parcours Anglais polonais appliqués aux affaires,15727,Public,False,False,131,0.97,0.53296875,0.33296875,0.666875,0.0,0.1669921875,0.1669921875,0.5,0.1669921875,0.0,0.0
0755976N,Université de Paris,75,Licence - Double diplôme - Licence Chimie -  Chimie - Cursus intégré franco-allemand avec l'Université de Bielefeld,15787,Public,True,False,271,0.59,0.666875,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
0382203N,Lycée Pablo Neruda,38,Mention complémentaire - Technicien en énergies renouvelables (option énergie électrique),15792,Public,True,False,50,0.81,0.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
0595964M,Université du littoral - Site de Dunkerque,59,Licence - Langues étrangères appliquées - Parcours ANGLAIS-ESPAGNOL,15833,Public,False,False,401,1.0,0.628984375,0.391953125,0.901875,0.0,0.2159765625,0.077998046875,0.33296875,0.1569921875,0.1369999999999999,0.0
0141904U,MFREO La Bagotière,14,"BTS - Agricole - Développement, animation des territoires ruraux",15839,Privé sous contrat d'association,True,False,70,0.67,0.75,0.0,1.0,0.0,0.0,0.666875,0.33296875,0.0,0.0,0.0
9740679V,Lycée professionnel Cluny Ste Suzanne,974,BTS - Services - Négociation et digitalisation de la Relation Client,15882,Privé sous contrat d'association,True,False,173,0.48,0.5909375,0.765,0.881875,0.35296875,0.235,0.58796875,0.35296875,0.11798828125,0.0,0.0
0300002P,Lycée Jean-Baptiste Dumas,30,BTS - Services - Economie sociale familiale,15940,Public,True,False,563,0.45,0.9709375,0.4809375,0.815,0.406953125,0.37,0.63,0.518984375,0.2219921875,0.037,0.0
9720832X,Université des Antilles - Pôle Martinique,972,Licence - Portail Géographie et aménagement - Sociétés et environnement - Martinique,15949,Public,False,False,111,0.99,0.473984375,0.466953125,0.866875,0.0,0.2,0.0669921875,0.33296875,0.2,0.0,0.0
9720832X,Université des Antilles - Pôle Martinique,972,"Licence - Portail Economie et gestion - Comptabilité, contrôle, audit  / Monnaie-Banque-Finance / Management des entreprises / Economie et politique publique - Martinique",15950,Public,False,False,727,1.0,0.4359375,0.456953125,0.9459375,0.0,0.25,0.12,0.29296875,0.065,0.0,0.0
9720832X,Université des Antilles - Pôle Martinique,972,"Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Etudes créoles - Martinique",15959,Public,False,False,82,1.0,0.76890625,0.428984375,0.71390625,0.0,0.14298828125,0.2859765625,0.428984375,0.14298828125,0.0,0.0
0673021V,Université de Strasbourg,67,"C.M.I - Cursus Master en Ingénierie - Informatique - Cursus Master Ingénierie : Informatique, Image, Réalité Virtuelle, Interactions et Jeux",15964,Public,True,False,560,0.27,0.08298828125,0.0,0.5559375,0.0,0.0,0.0,0.0,0.5559375,0.3329999999999999,0.111
9840386X,Lycée de Papara,987,CPGE - ECT - Option technologique,15990,Public,True,False,66,0.93,0.666875,0.455,1.0,0.27296875,1.0,0.0,0.363984375,0.09099609375,0.091,0.182
